Date,Time,Timer,Temperature,Condition,Light,Car,CarDuration
2022-06-26,08-37-54.520,42.0,16.71,overcast clouds,Red,False,0
2022-06-26,08-38-04.679,8.0,16.71,overcast clouds,Green,False,2
2022-06-26,08-39-07.436,62.0,16.74,overcast clouds,Red,False,0
2022-06-26,08-39-15.745,7.0,16.74,overcast clouds,Green,False,0
2022-06-26,08-40-54.549,99.0,16.74,overcast clouds,Red,False,0
2022-06-26,08-41-04.945,9.0,16.74,overcast clouds,Green,True,3
2022-06-26,08-41-25.327,18.0,16.74,overcast clouds,Red,True,3
2022-06-26,08-41-33.638,7.0,16.74,overcast clouds,Green,False,1
2022-06-26,08-41-47.982,15.0,16.74,overcast clouds,Red,False,0
2022-06-26,08-41-56.329,7.0,16.74,overcast clouds,Green,False,0
2022-06-26,08-42-45.949,48.0,16.74,overcast clouds,Red,False,0
2022-06-26,08-42-52.104,7.0,16.74,overcast clouds,Green,False,1
2022-06-26,08-43-06.527,12.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-43-08.543,1.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-43-16.868,7.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-43-18.875,1.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-43-23.076,3.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-43-37.750,13.0,16.75,overcast clouds,Green,False,1
2022-06-26,08-43-39.874,1.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-43-40.522,1.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-43-41.975,1.0,16.75,overcast clouds,Red,True,2
2022-06-26,08-43-44.046,1.0,16.75,overcast clouds,Green,False,2
2022-06-26,08-43-46.406,2.0,16.75,overcast clouds,Red,False,1
2022-06-26,08-43-56.683,8.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-43-58.705,1.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-02.964,3.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-07.045,3.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-09.135,1.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-21.588,11.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-23.692,1.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-25.810,1.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-27.899,3.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-32.072,3.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-38.284,5.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-40.372,1.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-44.562,3.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-48.771,3.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-44-52.934,3.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-44-57.153,3.0,16.75,overcast clouds,Red,False,0
2022-06-26,08-45-03.423,5.0,16.75,overcast clouds,Green,False,0
2022-06-26,08-45-11.809,7.0,16.84,overcast clouds,Red,False,0
2022-06-26,08-45-12.525,1.0,16.84,overcast clouds,Green,False,0
2022-06-26,08-45-15.912,3.0,16.84,overcast clouds,Red,False,0
2022-06-26,08-45-47.037,29.0,16.84,overcast clouds,Green,False,0
2022-06-26,08-45-49.155,1.0,16.84,overcast clouds,Red,False,0
2022-06-26,08-46-24.561,35.0,16.93,overcast clouds,Green,False,2
2022-06-26,08-46-26.641,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-46-53.693,25.0,16.93,overcast clouds,Green,False,1
2022-06-26,08-46-54.065,1,16.93,overcast clouds,Red,False,0
2022-06-26,08-46-54.449,1,16.93,overcast clouds,Green,False,0
2022-06-26,08-46-57.864,3.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-01.952,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-04.029,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-10.328,5.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-12.415,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-16.610,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-20.732,3.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-24.909,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-25.257,1,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-31.111,4.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-31.534,1,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-41.434,8.0,16.93,overcast clouds,Green,False,2
2022-06-26,08-47-43.523,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-47-49.800,7.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-47-50.167,1,16.93,overcast clouds,Red,False,1
2022-06-26,08-48-04.358,12.0,16.93,overcast clouds,Green,True,4
2022-06-26,08-48-10.557,5.0,16.93,overcast clouds,Red,True,4
2022-06-26,08-48-12.618,1.0,16.93,overcast clouds,Green,False,2
